command,mean,stddev,median,user,system,min,max
10,12.04420542087,0.722026901268294,11.76495236617,0.208114065,0.07541109,11.13261502317,13.33893492117
20,6.52144425707,0.41968246682166,6.53465773117,0.211065965,0.08513349,5.53100086917,6.93016539317
30,4.72316604067,0.829344765385041,4.73300261067,0.200862465,0.11521969,3.78523025517,5.74956142817
40,3.31534770707,0.497171800848393,3.06802457117,0.211939065,0.09346409,2.86814998717,4.19138124117
50,3.31214952327,0.320962299230048,3.30801180867,0.199315965,0.10415989,2.59449317617,3.73973779817
60,3.05853981627,0.24838333590805,3.10191731517,0.200630865,0.11150799,2.66808086117,3.44505849317
70,2.72070087527,0.100452351309996,2.73164874617,0.198825565,0.12148379,2.54002154517,2.83269365417
80,2.62072510597,0.168663794347755,2.62515269467,0.197293465,0.11346199,2.36529386817,2.97473718717
90,2.84280894827,0.492678865852753,2.81315018817,0.194646965,0.12660899,2.15230128017,3.71023862317
100,2.94937009417,0.53499507002916,2.95367552867,0.195406665,0.13433679,1.88731003417,3.68511938917
